Review,Platform,Sentiment
 Enjoying a beautiful day at the park!              , Twitter  ,1
 Traffic was terrible this morning.                 , Twitter  ,0
 Just finished an amazing workout! 💪               , Instagram ,1
 Excited about the upcoming weekend getaway!        , Facebook ,1
 Trying out a new recipe for dinner tonight.        , Instagram ,1
 Feeling grateful for the little things in life.    , Twitter  ,1
 Rainy days call for cozy blankets and hot cocoa.   , Facebook ,1
 The new movie release is a must-watch!             , Instagram ,1
 Political discussions heating up on the timeline.  , Twitter  ,0
 Missing summer vibes and beach days.               , Facebook ,1
 Just published a new blog post. Check it out!      , Instagram ,1
 Feeling a bit under the weather today.             , Twitter  ,0
 Exploring the city's hidden gems.                  , Facebook ,1
" New year, new fitness goals! 💪                    ", Instagram ,1
 Technology is changing the way we live.            , Twitter  ,1
 Reflecting on the past and looking ahead.          , Facebook ,1
 Just adopted a cute furry friend! 🐾              , Instagram ,1
 Late-night gaming session with friends.            , Twitter  ,1
 Attending a virtual conference on AI.              , Facebook ,1
 Winter blues got me feeling low.                   , Instagram ,0
 Sipping coffee and enjoying a good book.           , Twitter  ,1
 Exploring the world of virtual reality.            , Facebook ,1
 Productive day ticking off my to-do list.          , Instagram ,1
 Just finished a challenging workout routine.       , Twitter  ,1
 Celebrating a milestone at work! 🎉               , Facebook ,1
 Sunday brunch with friends.                        , Instagram ,1
 Learning a new language for personal growth.       , Facebook ,1
 Quiet evening with a good book.                    , Instagram ,1
 Reflecting on the importance of mental health.     , Twitter  ,1
 New painting in progress! 🎨                       , Facebook ,1
 Weekend road trip to explore scenic views.         , Instagram ,1
 Enjoying a cup of tea and watching the sunset.     , Twitter  ,1
 Coding a new project with enthusiasm.              , Facebook ,1
 Feeling inspired after attending a workshop.       , Instagram ,1
 Winter sports day at the local park.               , Twitter  ,1
 Quality time with family this weekend.             , Facebook ,1
 Attending a live music concert tonight.            , Instagram ,1
 Practicing mindfulness with meditation.            , Twitter  ,1
 Trying out a new dessert recipe.                   , Facebook ,1
 Excited about the upcoming gaming tournament.      , Instagram ,1
 Planning a garden makeover for spring.             , Twitter  ,1
 Celebrating a friend's birthday tonight! 🎂       , Facebook ,1
 Feeling accomplished after a productive day.       , Instagram ,1
 A cozy evening with a good movie.                 , Twitter  ,1
 Exploring local art galleries this weekend.        , Facebook ,1
 New book release from my favorite author!          , Instagram ,1
 Attending a virtual reality meetup.                , Twitter  ,1
 Reflecting on the beauty of nature.                , Facebook ,1
 Cooking a special dinner for loved ones.           , Instagram ,1
 Feeling optimistic about the week ahead.           , Twitter  ,1
 Starting a new fitness challenge tomorrow! 💪     , Facebook ,1
 Sunday bike ride through scenic trails.           , Instagram ,1
